business_name,business_status,street_name_address,lot_address,latitude,longitude
GS25 광주초월역,영업,"경기도 광주시 초월읍 경충대로 1124-18, 1층",경기도 광주시 초월읍 쌍동리 254-1번지 1층 ,37.37726035,127.2975597
GS25 광주궁평점,영업,"경기도 광주시 도척면 도척윗로 222, 1호동 1층",경기도 광주시 도척면 궁평리 573-1번지 1호동 1층,37.3359871,127.317721
GS25광주밀목점,영업,"경기도 광주시 중앙로 338-16, 1층 103호 (송정동)",경기도 광주시 송정동 407-141번지,37.4281915,127.2600578
GS25 실촌제일점,영업,"경기도 광주시 곤지암읍 광여로 698, 1층",경기도 광주시 곤지암읍 건업리 544번지 1층,37.3746472,127.4047357
GS25광주도서관점,영업,경기도 광주시 문화로 88 (경안동),경기도 광주시 경안동 164-5번지 ,37.4108108,127.2518432
씨유 광주수레실점,영업,"경기도 광주시 오포읍 수레실길 42, 지1층",경기도 광주시 오포읍 능평리 517-10번지,37.3504272,127.1617708
GS25뉴광주삼동역점,영업,"경기도 광주시 순암로 457, 1층 (삼동)",경기도 광주시 삼동 226-7번지 ,37.40919938,127.2037546
아이조아,영업,,경기도 광주시 송정동 113-69번지,37.4153945,127.2572014
GS25광주도곡점,영업,"경기도 광주시 초월읍 경충대로 1023-18, 1층",경기도 광주시 초월읍 쌍동리 181-25번지,37.370116,127.3008846
세븐일레븐현대점,영업,"경기도 광주시 오포읍 새말길 100, 1층",경기도 광주시 오포읍 신현리 399-3번지 1층,37.3672306,127.1621223
씨유 광주경화점,영업,"경기도 광주시 수하길11번길 8, 1층 (송정동)",경기도 광주시 송정동 70-4번지,37.4158616,127.2619812
세븐일레븐 곤지암리조트점,영업,"경기도 광주시 도척면 도척윗로 306, 1층",경기도 광주시 도척면 도웅리 91-5번지,37.3318707,127.3103922
GS25 광주새능점,영업,"경기도 광주시 순암로 150, 가동 1층 (중대동)",경기도 광주시 중대동 2-31번지 가동 1층,37.3969183,127.233536
GS25 광주경안점,영업,"경기도 광주시 중앙로145번길 12, 1층 (경안동)",경기도 광주시 경안동 80-10번지,37.4127218,127.2556674
미니스톱 광주성산점,영업,"경기도 광주시 곤지암읍 광여로 223, 1층",경기도 광주시 곤지암읍 열미리 473-3번지 1층,37.353786,127.3666107
세븐일레븐 경기광주송정현대점,영업,"경기도 광주시 중앙로187번길 11, 1층 (송정동)",경기도 광주시 송정동 113-47번지 1층,37.416083,127.2554528
지에스25(광주시청점),영업,"경기도 광주시 중앙로 192, 1층 (송정동)",경기도 광주시 송정동 110-8번지 1층 ,37.41647615,127.2570017
미니스톱 광주행운점,영업,"경기도 광주시 도척면 도척윗로 168, 1층","경기도 광주시 도척면 궁평리 326-7번지 외1필지, 1층",37.3382612,127.3231132
씨유 경기광주역점,영업,"경기도 광주시 역동로 67, 1층 (역동)",경기도 광주시 역동 137-7번지 1층,37.4022779,127.2562535
CU퇴촌로드점,영업,"경기도 광주시 퇴촌면 산수로 1292, 1층",경기도 광주시 퇴촌면 광동리 247-34번지 1층,37.4695799,127.307078
CU곤지암점,영업,"경기도 광주시 곤지암읍 경충대로 766, 1층",경기도 광주시 곤지암읍 삼리 139-1번지 1층,37.3561487,127.3255256
GS25 광주중앙고점,영업,"경기도 광주시 역동로 57-45, 1층 (역동)",경기도 광주시 역동 145-1번지 1층,37.4028903,127.2563911
세븐일레븐 경기광주참조은점,영업,"경기도 광주시 경안로 14-18, 나동 1층 (경안동)",경기도 광주시 경안동 19-8번지 나동 1층,37.4112549,127.2590285
GS25 광주승리점,영업,"경기도 광주시 광남안로 28, 1층 (태전동)",경기도 광주시 태전동 309번지 1층,37.3917518,127.2212904
GS25 태전타운점,영업,"경기도 광주시 태성로 109, 힐스테이트태전1627 1층 101호 (태전동)",경기도 광주시 태전동 702번지 힐스테이트태전1627 101호,37.3798091,127.2283689
세븐일레븐,영업,"경기도 광주시 경충대로 1514-15, 1층 101호 (쌍령동)",경기도 광주시 쌍령동 265-1번지,37.4051669,127.2700087
세븐일레븐 곤지암에버빌점,영업,"경기도 광주시 곤지암읍 평촌길 31-26, 1층",경기도 광주시 곤지암읍 삼리 106-18번지 1층 ,37.35584699,127.327161
GS25 초월산이점,영업,"경기도 광주시 초월읍 경충대로 912, 1층",경기도 광주시 초월읍 산이리 92-12번지 1층,37.3640665,127.3128602
GS25광주직동점,영업,경기도 광주시 고불로 312 (직동),경기도 광주시 직동 3-3번지 ,37.3997806,127.2056493
GS25 광주새말점,영업,"경기도 광주시 오포읍 새말길 163, 1층 (해오름타운 102동)",경기도 광주시 오포읍 신현리 570-73번지 해오름타운 102동 1층,37.3727003,127.1617048
지에스25 목현로드점,영업,"경기도 광주시 이배재로 323, 1층 (목현동)",경기도 광주시 목현동 240번지 1층,37.434689,127.2237879
GS25 오포양벌점,영업,"경기도 광주시 오포읍 마루들길 247, 1층",경기도 광주시 오포읍 양벌리 327-7번지 1층,37.3779812,127.2588137
미니스톱갈마터널점,영업,"경기도 광주시 순암로 496, 1층 (삼동)",경기도 광주시 삼동 261-7번지 1층,37.4111422,127.2003711
세븐일레븐(광주초월점),영업,경기도 광주시 초월읍 경충대로 1003,경기도 광주시 초월읍 쌍동리 16-5번지,37.3689547,127.3040522
씨유광주능평그린점,영업,"경기도 광주시 오포읍 오포로 273, 1층",경기도 광주시 오포읍 능평리 36-25번지,37.348202,127.192148
세븐일레븐 경기광주안골점,영업,"경기도 광주시 경안로 114, 1층 (경안동)",경기도 광주시 경안동 194번지 1층,37.4066716,127.2492543
이마트24 광주삼동점,영업,"경기도 광주시 삼지곡길34번길 9, 지1층 (삼동, 청송주택)",경기도 광주시 삼동 164-2번지 지1층,37.413865,127.2046255
씨유 광주퇴촌점,영업,경기도 광주시 퇴촌면 천진암로 391,경기도 광주시 퇴촌면 도수리 354-1번지,37.4711609,127.3157775
GS25 오포창뜰점,영업,경기도 광주시 오포읍 창뜰윗길6번길 9,경기도 광주시 오포읍 능평리 260-4번지 지하1층,37.3499532,127.1722321
씨유 광주태전빌리지점,영업,"경기도 광주시 태봉로42번길 49-1, 화이트캐슬 202동 지하1층 B101호 (태전동)",경기도 광주시 태전동 245-102번지,37.389807,127.2253725
GS25 광주쌍령,영업,"경기도 광주시 경충대로 1514-3, 1층 (쌍령동)",경기도 광주시 쌍령동 108-2번지 1층,37.4043669,127.2691474
GS25 목동대명점,영업,"경기도 광주시 광남안로 131, 1층 (목동)",경기도 광주시 목동 34번지 1층,37.3845015,127.2147881
GS오포헤송,영업,"경기도 광주시 오포읍 상태길 32, 1층",경기도 광주시 오포읍 신현리 732-5번지 1층,37.3582055,127.1456574
씨유광주능평빌지지점,영업,경기도 광주시 오포읍 오포로171번길 17-132,경기도 광주시 오포읍 능평리 131-74번지,37.346897,127.1795385
세븐일레븐(경기광주쌍령점),영업,경기도 광주시 경충대로 1449 (쌍령동),경기도 광주시 쌍령동 163-1번지,37.399142,127.2727203
씨유 광주열미점,영업,"경기도 광주시 곤지암읍 벌열미길 1, 1층",경기도 광주시 곤지암읍 열미리 467-16번지,37.3551256,127.3675765
GS25 경안안길점,영업,"경기도 광주시 경안안길 25, 1층 (경안동)",경기도 광주시 경안동 95-4번지 1층,37.4133118,127.2536136
미니스톱 광주삼리타운점,영업,"경기도 광주시 초월읍 경충대로 863, 1층",경기도 광주시 초월읍 산이리 10-1번지 1층,37.3604821,127.3156335
미니스톱광주장지행복점,영업,"경기도 광주시 절골길 19, 1층 (장지동)",경기도 광주시 장지동 642-1번지 1층,37.4018087,127.2346126
미니스톱 광주초월점,영업,"경기도 광주시 초월읍 산수로 500, 1층",경기도 광주시 초월읍 신월리 472번지,37.4050901,127.3091099
