street_name_address,lot_address,latitude,longitude
경기도 수원시 장안구 정자로42번길 17,경기도 수원시 장안구 천천동 512,37.3002642,126.9825575
경기도 수원시 장안구 정자로42번길 17,경기도 수원시 장안구 천천동 512,37.3002642,126.9825575
경기도 수원시 장안구 정자로 22,경기도 수원시 장안구 천천동 502-1,37.3000113,126.9793431
경기도 수원시 장안구 정자로19번길 13,경기도 수원시 장안구 천천동 570,37.3006508,126.9782263
경기도 수원시 장안구 경수대로1081번길 32-9,경기도 수원시 장안구 파장동 618,37.3093748,126.9919176
경기도 수원시 장안구 수일로 92,경기도 수원시 장안구 파장동 414-7,37.3097357,127.000671
경기도 수원시 팔달구 정자천로32번길 55,,37.286154,126.9817832
경기도 수원시 권선구 금호로 39,경기도 수원시 권선구 금곡동 242-34,37.2689551,126.9561167
경기도 수원시 권선구 금호로15번길 2-9,경기도 수원시 권선구 금곡동 245-32,37.2688461,126.9540987
경기도 수원시 권선구 금곡로31번길 92,경기도 수원시 권선구 금곡동 699,37.2727925,126.9353688
,경기도 수원시 권선구 금곡동 799-11,37.2717653,126.9353698
경기도 수원시 권선구 서수원로 220,경기도 수원시 권선구 오목천동 278,37.2463795,126.9684271
,경기도 수원시 팔달구 화서동 436-1,37.2780729,126.9887311
,경기도 수원시 권선구 서둔동 104-4,37.2679272,126.9882595
,경기도 수원시 권선구 고색동 179-8,37.2562683,126.9918126
,경기도 수원시 권선구 고색동 190,37.2546286,126.9942025
,경기도 수원시 권선구 평동 21-114,37.2582689,126.9954533
,경기도 수원시 권선구 당수동 10,37.300342,126.945123
,경기도 수원시 권선구 구운동 905-2,37.2843772,126.9733376
,경기도 수원시 권선구 금곡동 808-2,37.2734623,126.9618415
,경기도 수원시 권선구 호매실동 269-1,37.2583806,126.9665053
,경기도 수원시 권선구 오목천동 164-13,37.2474066,126.9682914
경기도 수원시 권선구 매송고색로804번길 451,경기도 수원시 권선구 고색동 616,37.234463,126.988728
경기도 수원시 장안구 광교산로 541,경기도 수원시 장안구 상광교동 100,37.3304226,127.0146956
,경기도 수원시 권선구 호매실동 603-5,37.2661498,126.9487905
,경기도 수원시 권선구 당수동 440,37.2841479,126.9398467
,경기도 수원시 권선구 권선동 1344-3,37.2380217,127.0195271
경기도 수원시 권선구 정조로514번길 15,,37.2551602,127.0122829
경기도 수원시 권선구 세지로42번길 31-2,,37.2554028,127.0181444
경기도 수원시 영통구 영통로90번길 48,경기도 수원시 영통구 망포동 523,37.2391629,127.059084
경기도 수원시 영통구 매여울로40번길 2,,37.2715697,127.0454208
경기도 수원시 영통구 매영로415번길 38,경기도 수원시 영통구 영통동 1019-1,37.2491268,127.0781059
