business_name,business_status,street_name_address,lot_address,latitude,longitude
세븐일레븐(수원인계2호점),영업,"경기도 수원시 팔달구 효원로291번길 53 (인계동,백광빌딩)",경기도 수원시 팔달구 인계동 1120-5번지 백광빌딩 ,37.26365313,127.0343347
세븐일레븐 수원터미널점,영업,"경기도 수원시 권선구 경수대로 270, 1310호 (권선동,복합터미널 1층)",경기도 수원시 권선구 권선동 1189번지 복합터미널 1층 1310호,37.2503477,127.0208372
씨유수원미래사랑,영업,"경기도 수원시 권선구 효원로230번길 38, 101동 1층 106호 (권선동, 올림픽공원미래사랑)",경기도 수원시 권선구 권선동 1011-14번지 올림픽공원미래사랑 101동 106호,37.2610961,127.0259014
GS25 영통방죽점,영업,"경기도 수원시 영통구 영통로217번길 21, 1층 (영통동)",경기도 수원시 영통구 영통동 978-2번지 GS25,37.2465709,127.0557533
지에스25 호매실중앙(GS25),영업,"경기도 수원시 권선구 호매실로218번길 126, 1층 103호 (호매실동, 현대프라자)",경기도 수원시 권선구 호매실동 1375번지 현대프라자 103호 ,37.26601055,126.9608761
CU 인계우리점,영업,"경기도 수원시 팔달구 경수대로421번길 13, 1층 (인계동)",경기도 수원시 팔달구 인계동 1013-3번지 1층,37.2638806,127.0244254
GS25수원권선,영업,"경기도 수원시 권선구 권중로76번길 4, 1층 (권선동)",경기도 수원시 권선구 권선동 1258-11번지 1층,37.2522652,127.0298663
씨유광교에듀점,영업,"경기도 수원시 영통구 에듀타운로 24, 그린메디칼 104호 (이의동)",경기도 수원시 영통구 이의동 1341-4번지 그린메디칼 104호,37.2851545,127.0522508
미니스톱수원파장점,영업,경기도 수원시 장안구 장안로 264-11 (정자동),경기도 수원시 장안구 정자동 435-1번지,37.3059509,126.9920647
GS25권선중앙점,영업,"경기도 수원시 권선구 장다리로 101, 1층 (권선동)",경기도 수원시 권선구 권선동 972-14번지 ,37.25918676,127.0213692
지에스(GS)25영통학사점,영업,"경기도 수원시 영통구 영일로6번길 43 (영통동,1층)",경기도 수원시 영통구 영통동 1021-7번지 1층 ,37.24827083,127.0781389
미니스톱조원점,영업,경기도 수원시 장안구 조원로 91 (조원동),경기도 수원시 장안구 조원동 743-5번지 ,37.30089607,127.0155031
세븐일레븐 수원구운점,영업,"경기도 수원시 권선구 구운로63번길 2, 1층 (구운동)",경기도 수원시 권선구 구운동 942-6번지 ,37.27932233,126.9726518
씨유장안힐스테이트점,영업,"경기도 수원시 장안구 장안로359번길 20, 지하1층 103호 (이목동, 수원장안힐스테이트)",경기도 수원시 장안구 이목동 916번지 수원장안힐스테이트 상가 지하1층 103호,37.3123743,126.9842576
씨유수원이노플렉스점,영업,"경기도 수원시 영통구 신원로 304 (원천동, 554외4필지 영통이노플렉스-2단지 3동 105호)",경기도 수원시 영통구 원천동 554번지 외4필지 영통이노플렉스2단지 3동 105호,37.2621023,127.0609724
세븐일레븐수원상탑로점,영업,"경기도 수원시 권선구 서둔로 223, 1층 (탑동)",경기도 수원시 권선구 탑동 318-1번지,37.2713767,126.9789574
미니스톱수원매탄점,영업,경기도 수원시 영통구 인계로 293-1 (매탄동),경기도 수원시 영통구 매탄동 815-5번지,37.2631795,127.0495534
